contentid,gamsung
125415,376.0
125416,371.0
125447,240.0
126011,56.0
126235,196.0
126236,408.0
126237,42.0
126238,190.0
126239,118.0
126243,83.0
126245,58.0
126246,77.0
126249,217.0
126258,18.0
126259,99.0
126260,344.0
126262,45.0
126263,171.0
126264,212.0
126268,294.0
126269,442.0
126277,1.0
126278,2.0
126286,62.0
126287,-1.0
126288,5.0
126290,226.0
126292,7.0
126293,20.0
126294,0.0
126296,0.0
126297,0.0
126298,0.0
126299,0.0
126315,309.0
126318,533.0
126319,5.0
126320,836.0
126321,222.0
126322,687.0
126328,18.0
126332,91.0
126333,344.0
126335,126.0
126336,9.0
126338,6.0
126339,30.0
126340,0.0
126342,10.0
126343,323.0
126344,97.0
126345,79.0
126346,234.0
126347,483.0
126352,7.0
126353,199.0
126354,0.0
126355,0.0
126356,269.0
126360,341.0
126376,0.0
126380,0.0
126381,16.0
126382,13.0
126387,133.0
126388,116.0
126389,3.0
126390,0.0
126391,14.0
126392,-14.0
126393,0.0
126394,1.0
126395,0.0
126396,161.0
126397,786.0
126398,617.0
126401,90.0
126404,5.0
126408,72.0
126409,15.0
126410,15.0
126411,-5.0
126431,84.0
126547,169.0
126551,0.0
126558,251.0
126620,60.0
126621,296.0
126622,342.0
126623,5.0
126624,22.0
126625,8.0
126626,640.0
126627,199.0
126675,102.0
126684,83.0
126718,0.0
126768,0.0
126908,0.0
126910,38.0
126939,71.0
126945,19.0
126953,11.0
126964,44.0
127002,0.0
127003,5.0
127005,0.0
127006,0.0
127007,2.0
127008,0.0
127009,1.0
127010,12.0
127031,0.0
127045,767.0
127066,28.0
127067,15.0
127068,0.0
127120,5.0
127121,0.0
127122,26.0
127123,0.0
127125,100.0
127169,168.0
127358,2.0
127359,0.0
127430,2.0
127435,14.0
127436,3.0
127437,318.0
127438,37.0
127439,98.0
127507,53.0
127512,178.0
127533,446.0
127538,0.0
127573,0.0
127574,30.0
127611,71.0
127627,11.0
127651,25.0
127673,330.0
127689,37.0
127690,43.0
127741,40.0
127742,277.0
127800,181.0
127865,44.0
127878,5.0
127881,0.0
127893,211.0
127902,0.0
127910,85.0
127924,5.0
127977,318.0
128126,219.0
128169,5.0
128319,52.0
128320,0.0
128323,12.0
128324,0.0
128402,0.0
128422,90.0
128448,77.0
128609,47.0
128766,267.0
128790,9.0
128832,14.0
128833,23.0
128944,0.0
128950,19.0
128951,0.0
128957,1.0
128970,0.0
128971,93.0
128972,217.0
128973,0.0
128974,0.0
128976,-3.0
128977,0.0
128980,388.0
128982,307.0
129067,0.0
129068,-4.0
129069,0.0
129070,196.0
129120,0.0
129134,51.0
129311,0.0
129314,37.0
129354,2.0
129355,25.0
129357,28.0
129382,539.0
129498,130.0
129499,0.0
129509,99.0
129510,68.0
129514,0.0
129556,4.0
129561,0.0
129562,0.0
129565,0.0
129566,0.0
129656,0.0
129657,4.0
129666,36.0
129667,-1.0
129681,168.0
129690,127.0
131279,28.0
136230,43.0
136538,0.0
137762,0.0
147548,676.0
147656,694.0
147684,530.0
226923,0.0
228875,0.0
228891,19.0
228895,0.0
228913,0.0
229955,4.0
231895,477.0
231896,0.0
231907,59.0
231908,0.0
231925,-5.0
231950,0.0
231951,1.0
231953,0.0
250140,161.0
250287,13.0
250288,0.0
250307,-3.0
250308,-2.0
250309,3.0
250311,0.0
250312,0.0
250318,0.0
250328,38.0
250331,542.0
250378,15.0
250415,25.0
250457,6.0
250458,0.0
250459,2.0
250460,2.0
250462,265.0
252576,134.0
252577,12.0
252578,251.0
252580,0.0
252582,194.0
252597,24.0
252599,0.0
264284,1109.0
264528,16.0
297980,0.0
298094,11.0
298100,25.0
298199,60.0
298205,2.0
298206,-2.0
299976,2.0
299989,10.0
299994,0.0
300081,276.0
300089,0.0
301263,388.0
301276,46.0
304836,0.0
306154,0.0
309297,0.0
309328,6.0
316102,0.0
317500,8.0
317526,0.0
317561,22.0
317570,0.0
317571,57.0
318200,9.0
318335,11.0
318340,-1.0
319550,20.0
319552,15.0
319556,16.0
319569,2.0
319705,13.0
319707,28.0
322999,0.0
337410,0.0
337411,74.0
337432,0.0
337509,-1.0
337529,9.0
346632,0.0
346653,1.0
346682,0.0
346909,0.0
346912,0.0
347011,0.0
347227,0.0
479552,-5.0
479838,12.0
479904,2.0
479910,144.0
479920,0.0
479951,0.0
481959,20.0
482045,2.0
482151,-8.0
482172,33.0
482207,-2.0
485690,0.0
485691,9.0
485741,0.0
485744,12.0
486531,7.0
488345,5.0
527279,-1.0
561983,0.0
600158,373.0
606203,100.0
649968,215.0
650224,13.0
650363,197.0
709075,5.0
716188,2.0
716313,0.0
716358,0.0
716410,25.0
716538,1.0
716562,2.0
716576,91.0
716603,13.0
716644,0.0
716659,0.0
716704,12.0
716856,15.0
716917,-3.0
716987,9.0
717051,11.0
717093,102.0
717109,4.0
776934,0.0
778333,128.0
790325,2.0
790362,3.0
790419,0.0
799613,5.0
800971,81.0
801023,-8.0
801042,0.0
802004,0.0
803138,14.0
803166,0.0
803243,246.0
803293,4.0
814004,9.0
913033,3.0
913309,5.0
913710,0.0
913869,32.0
914536,10.0
914607,-13.0
915542,13.0
916815,-16.0
916913,-2.0
916981,-2.0
917032,1.0
917162,39.0
923065,0.0
923263,352.0
978310,0.0
988215,86.0
988466,9.0
1009026,0.0
1081865,-6.0
1182422,6.0
1182630,1.0
1185879,35.0
1313645,16.0
1314389,-14.0
1314771,0.0
1315472,124.0
1316294,0.0
1316395,19.0
1316476,0.0
1316776,3.0
1318326,5.0
1318752,-3.0
1318999,37.0
1437668,40.0
1580015,2.0
1580147,161.0
1580198,-5.0
1580315,0.0
1580402,4.0
1580464,0.0
1580917,39.0
1581045,0.0
1581236,0.0
1581661,-1.0
1582168,0.0
1582265,19.0
1582423,4.0
1582519,4.0
1582602,0.0
1582774,-13.0
1582821,0.0
1582934,-1.0
1582973,0.0
1582979,0.0
1583000,0.0
1583043,-1.0
1583060,0.0
1583080,0.0
1583102,2.0
1583137,0.0
1583188,-2.0
1584115,3.0
1584139,0.0
1584306,318.0
1584431,4.0
1584492,1.0
1584645,0.0
1584836,0.0
1584941,0.0
1584985,0.0
1585593,0.0
1586084,0.0
1586218,0.0
1586261,0.0
1586295,-2.0
1586397,-2.0
1586482,5.0
1586632,52.0
1587082,301.0
1588449,3.0
1590094,3.0
1590210,23.0
1590217,0.0
1590232,4.0
1590265,0.0
1590555,-5.0
1590673,3.0
1590720,0.0
1590793,0.0
1590837,3.0
