contentid,overview,homepage,addr1,cat1,cat2,cat3,firstimage,mapx,mapy,title,sigungu
2743285,"가력도항은 부안~군산 간 총길이 33.9㎞의 어항이다. 부안군 어민들이 가장 많이 이용하는 항구로 부안군 관할이지만 부안뿐 아니라 인근 군산시, 김제시 어선들도 많이 이용하는 항구다. 봄철과 가을철 꽃게가 많이 나오는 곳으로도 유명하며 생활 낚시인들도 즐겨 찾는 낚시 명소이다. 가력도항 내항 방파제, 가력 갑문 소공원, 새만금 방조제 갯바위 등이 낚시 포인트이며 계절이나 물때, 상황에 따라 삼치, 우럭, 노래미, 망둥어, 주꾸미, 고등어, 꽁치, 갈치, 갯장어 등 다양한 어종이 잡힌다. 가력도항은 바닷바람을 맞으며 힐링하며 산책하기에도 좋고 붉게 물드는 서해 낙조를 보는 것도 황홀하다. 가력도항 길 건너에는 가력도 생태공원과 전망대, 풍력발전기가 있다.",https://www.buan.go.kr/tour/index.buan,전북특별자치도 부안군 변산면 새만금로 447-27,A01,A0101,A01011400,http://tong.visitkorea.or.kr/cms/resource/82/3359182_image2_1.JPG,126.5314023248,35.7269248004,가력도항, 부안군
1625067,"부안군 상서면 청림리에 있는 계곡이다. 가마소계곡의 ‘가마소’는 폭포 아래 물웅덩이 또는 그 주변 지형이 가마솥처럼 움푹하다고 하여 붙여진 이름이다. 한자로는 부소(釜沼)라고 한다. 변산반도 남부에 위치한 세봉(433m)에서 시작되는 가마소계곡은 비교적 협곡을 이루며 수려한 풍광을 자랑하는 내변산의 대표적인 계곡이다. 이곳은 지류인 와룡소계곡과 연결되기 때문에 편의상, 이 전체를 회양계곡이라고도 부르며, 거리는 약 9㎞에 이른다. 
내변산에서도 교통이 불편한 곳에 있으나, 이곳의 폭포와 소는 하천 지형의 특색을 잘 보여 준다.",http://www.grandculture.net/buan/toc/GC08000029,전북특별자치도 부안군 상서면 청림리,A01,A0101,A01010900,https://cdn-icons-png.flaticon.com/512/1174/1174795.png,126.597968002,35.6412495627,가마소계곡, 부안군
2788127,"가왕 송흥록 국창 박초월이 살았던 곳으로 10 가구의 주민을 이주하고 그 시대의 초가현태로 2000년 7월 28일에 복원했다. 
송흥록(1801~1863)은 조선 정조 초기 권삼득의 고수 송첨지의 아들로 태어나 12세에 백운산 월광선사에게 공부하였고, 1859년(철종 10)에 정3품 통정대부 벼슬에 제수된 조선 말기 순조, 현종, 철종대에 걸친 명창이다. 계면조, 진양조의 완성, 메나리조 도입과 모든 가사를 집대성하여 판소리의 중사조라 불리며, ‘가왕’의 칭호를 받았다. 춘향가의 옥중가 중에서 귀곡성이 장기이며, 제자 박만순과 동생 송광록, 송광록의 아들 송우룡, 송우룡의 아들 송만갑으로 이어지는 송문일가의 소리를 이루었다.
박초월(1916~1983)은 12세에 김정문에게 흥부가를, 송만갑 지도로 춘향가, 심청가, 수궁가를 전수하였고, 1961년 (사)한국국악협회 초대 이사장 취임과 한국국악예술학교를 설립하여 후진을 양성했다. 1967년 중요무형문화재 제5호 수궁가 보유자로 지정받았다.",,전북특별자치도 남원시 운봉읍 비전길 7,A02,A0201,A02010500,http://tong.visitkorea.or.kr/cms/resource/52/2791552_image2_1.jpg,127.5626899062,35.4575758647,가왕 송흥록·국창 박초월 생가, 남원시
2357441,"조선 중기의 도학자 하서 김인후 선생의 15대손인 가인 김병로 선생의 생가로 이곳에서 태어나 유년시절을 지냈으며, 1948년 대한민국 초대 대법원장을 지낸 법조인이자 정치가로서 우리나라 사법부 역사상 법조 3성[聖]으로 한국 근현대사에 큰 획을 그은 인물로 법조인들로부터 가장 추앙받고 있다. 가인 생가는 당초 안채, 사랑채, 문간채로 이루어 졌으나, 6.25 한국전쟁때 소실되어 옛모습을 찾아 볼 수 없었으나, 순창군에서 후손들의 고증을 거쳐 안채와 문간채를 2014년 5월에 복원을 완료하여 오늘에 이르고 있다.

(출처 : 순창군 문화관광 홈페이지)",https://www.sunchang.go.kr/tour/board/view.sunchang?menuCd=DOM,전북특별자치도 순창군 복흥면 하리길 160,A02,A0201,A02010500,http://tong.visitkorea.or.kr/cms/resource/82/3364482_image2_1.JPG,126.9774224423,35.4505693165,가인 김병로 생가터, 순창군
2793231,가장마을은 노치마을 오른쪽에 있는 덕산저수지 동쪽의 구릉 지대와 경계로 접하고 있다. 노치마을의 동쪽부터 가장마을까지 이어지는 들판은 해발 500m 고지라고는 믿어지지 않을 만큼 너른 들녘이 이어진다. 또한 섬진강과 낙동강을 이루는 물줄기가 처음 이루는 곳이 광천인데 이 물길은 운봉읍을 지나면서는 ‘람천’이라는 이름으로 사람들이 더 많이 부르고 있다. 풍수지리에 의하면 하늘에서 내려온 선녀가 화장을 하는 형국이라 하여 가장리(佳粧里)라 불렀다 한다. 지금은 들녘에 농사짓는 움막 터를 뜻하는 농막 장(庄) 자를 써 가장리(佳庄里)로 쓰고 있다. 마을 사람들은 옥녀봉 아래에 옥녀가 베를 짜는 옥녀직금의 천하명당이 있다고 믿고 있다.,https://www.namwon.go.kr/tour/index.do,전북특별자치도 남원시 운봉읍 가장길 4,A02,A0203,A02030100,http://tong.visitkorea.or.kr/cms/resource/93/3358393_image2_1.JPG,127.5179339854,35.4101221138,가장마을, 남원시
1608562,"조선 후기의 성리학자 전우(1841∼1922) 선생이 학문을 연구하던 곳이다. 선생은 임헌회 문하에서 20년간 학문을 배웠으며, 고종 19년(1882) 벼슬에 올랐으나 곧 사임하고 학문에만 전념하였다. 1910년 국권이 일제에 강탈되자 선생은 통분해하며 스스로 귀향하여 도학으로 국권을 회복하고자 노력하였다. 그러나 의병을 일으키지 않고 도학만을 이야기한다고 하여 지탄을 받기도 하였다. 1922년까지 이곳에서 도학을 가르치며 항일정신을 고취하여 민족정기를 진작하는데 일생을 바쳤다. 전우 선생의 성리학적 연구 업적은 높이 평가되고 있으며, 전통적인 유학사상을 그대로 실현시키려 한 점에서 조선 최후의 정통 유학자로서 추앙받고 있다.",https://www.buan.go.kr/tour/board/view.buan?boardId=BBS,전북특별자치도 부안군 계화면 양지길 12,A02,A0201,A02010700,http://tong.visitkorea.or.kr/cms/resource/32/3359232_image2_1.JPG,126.63718561,35.7943022476,간재선생유지, 부안군
129681,"진안읍에서 정천을 거쳐 주천을 향하여 2km를 가다 보면 갈거마을이 있고, 이곳에서 운장산 정상으로 통하는 길이 7km의 깊은 갈거계곡이 있다.
700여 평이나 되는 마당바위, 해기소, 감탄이 절로 나는 정밀폭포 등 운장산으로 오르는 등산로 옆의 계곡은 우거진 원시림과 크고 작은 폭포와 어우러진 기암괴석이 몇 폭의 산수화를 이어 놓은 듯 첩첩이 눈 아래 펼쳐진다. 가을철에는 계곡을 물들인 황홍색 단풍은 가히 황홀한 절경을 이루어 어느 국립공원에 견주어도 모자람이 없을 풍광이다. 운장산은 해발 1,000m 이상으로 높지만, 가족들이 오르기에 무리가 없는 완만하고 시원한 코스로 모든 가족이 함께 한번 도전해 볼 만한 하다.  
주변에 국립 운장산자연휴양림, 천황사가 있어 연계 관광을 할 수 있다.",https://jinan.go.kr/tour/sub,전북특별자치도 진안군 정천면 휴양림길 77,A01,A0101,A01010900,http://tong.visitkorea.or.kr/cms/resource/79/219579_image2_1.jpg,127.4377085322,35.9085419668,갈거계곡, 진안군
1625103,"내장저수지가 바라다보이는 곳에 자리 잡고 있는 이 탑은 동학농민혁명 100주년을 기리는 탑으로, 1997년 5월 11일 건립되었다. 바로 옆에는 내장산조각공원이 있다. 화강암, 대리석, 오석 등으로 만든 탑으로, 주탑과 부탑으로 되어있다. 
주탑의 4각뿔은 동학농민혁명의 이상을 상징하고, 흰 대리석은 민족봉기의 정신을 상징한다. 동학농민혁명이 일어난 1894년을 기리기 위하여 높이 1,894m로 조성하였다. 
상층부에 3단 금태는 고부 농민봉기, 3월 백산봉기, 9월 삼례봉기를 상징한다. 문경석으로 만든 부탑은  4개의 원기둥으로 되어 있는데 이는 4민(四民: 사농공상), 평등, 수평, 사회를 상징하는 것이다. 각각의 원기둥은 높이 1,100m, 지름 85cm 규모이다. 이 기념탑은 정읍 출신의 설치미술가 전수천이 조성하였다. 주변에 내장산 워터파크와 내장산 문화광장이 있다.",https://www.jeongeup.go.kr/culture/board/view.jeongeup?boardId=BBS,전북특별자치도 정읍시 내장호반로 214,A02,A0205,A02050200,http://tong.visitkorea.or.kr/cms/resource/89/3060489_image2_1.jpg,126.9002222297,35.5097335146,갑오동학혁명 100주년 기념탑, 정읍시
2357460,"강천사 모과나무는 강천사로 길목에 있는 수령 약 300년의 모과나무이다. 높이 19m, 둘레 3.1m로 높이 50cm 정도에서 두 가지로 나누어진다. 한 가지는 뻗어서 다시 두 가지로 나뉘고, 다른 한 가지는 1m 정도에서 네 가지와 두 가지로 나누어져 자란다. 
모과나무를 강천사에 머물던 스님이 심었다는 설과 조선 후기 순창 출신의 실학자인 신경준이 심었다는 설이 함께 전해진다. 지금도 꽃을 피우고 열매를 맺고 있으며, 모과나무의 왼쪽으로는 단풍나무가 오른쪽에는 양치식물인 고사리류가 자라고 있다.",http://www.grandculture.net/sunchang/toc/GC05900495?search=A3/2,전북특별자치도 순창군 팔덕면 강천산길 270,A01,A0102,A01020100,http://tong.visitkorea.or.kr/cms/resource/58/2357358_image2_1.JPG,127.0556862716,35.3987570781,강천사 모과나무, 순창군
126347,"강천사 군립공원 입구에서 1.8km 지점에 위치한 강천사는 신라 진성여왕 원년(887년)에 도선국사에 의해 창건되었다. 그 후 번창하여 고려 충숙왕 3년(1316년) 덕현선사가  사찰을 중창하고 5층 석탑을 세웠고 한때 12개 암자와 1천여명의 승려들이 머물렀다고 한다. 그런데 임진왜란 때 석탑만 남고 모두 소실되었다. 선조 37년 (1604년)에 소요대사가 재건했으나 다시 한국전쟁 때 소실되었다가 1959년 원상대로 복원하였다.충신리와 남계리, 석장승, 순창객사, 순화리 3층 석탑 등의 문화재가 있으며 주변 관광지로 금성산성, 용소폭포, 강천호, 담양호, 추월산, 희문산, 내장산국립공원 등이 있다.",https://gangcheonsan.kr/?c=2/12/57,전북특별자치도 순창군 팔덕면 강천산길 270,A02,A0201,A02010800,http://tong.visitkorea.or.kr/cms/resource/60/1954560_image2_1.jpg,127.0555668463,35.3984154482,강천사(순창), 순창군
1625118,"강천산은 계절에 따라 산의 경관이 변하고 그 경관이 한결같이 수려해 호남의 소금강으로 불린다. 산입구에서 시작되는 두 개의 산줄기를 사이에 두고 약 8㎞나 뻗은 계곡을 따라가다 보면 기암괴석과 크고 검은 못, 자연폭포가 엇갈리면서 주변의 수림과 조화를 이루어 절경을 연출한다. 또한 강천산의 자랑인 아기단풍이 붉게 물들어 만산홍엽을 이룬다. 매표소에서 강천사까지 이어진 계곡은 경사도 완만해 거닐기도 좋고 중간중간 계류에 발을 담그고 쉴 수 있는 공간도 많다. 비구니들의 도량인 강천사는 신라 때 도선국사가 창건했다는 고찰이며 강천사에는 고려 충숙왕 때 세워진 지방유형문화재 제92호인 오층석탑이 현존하고 있다.",http://gangcheonsan.kr/,전북특별자치도 순창군 팔덕면,A01,A0101,A01010900,http://tong.visitkorea.or.kr/cms/resource/22/3055722_image2_1.jpg,127.0647187774,35.3998321107,강천사계곡, 순창군
