,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,전북특별자치도 부안군 변산면 새만금로 447-27,,37,0,A01,A0101,A01011400,2743285,12,20210910222116,http://tong.visitkorea.or.kr/cms/resource/82/3359182_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/82/3359182_image3_1.JPG,Type3,126.5314023248,35.7269248004,6,20250318212635,6,,가력도항,56343
1,전북특별자치도 부안군 상서면 청림리,,37,0,A01,A0101,A01010900,1625067,12,20120509010149,,,,126.5979680020,35.6412495627,6,20240613154428,6,,가마소계곡,56343
2,전북특별자치도 남원시 운봉읍 비전길 7,,37,0,A02,A0201,A02010500,2788127,12,20211208012601,http://tong.visitkorea.or.kr/cms/resource/52/2791552_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2791552_image2_1.jpg,Type3,127.5626899062,35.4575758647,6,20241204102357,4,,가왕 송흥록·국창 박초월 생가,55717
3,전북특별자치도 순창군 복흥면 하리길 160,,37,0,A02,A0201,A02010500,2357441,12,20161229221055,http://tong.visitkorea.or.kr/cms/resource/82/3364482_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/82/3364482_image3_1.JPG,Type3,126.9774224423,35.4505693165,6,20241206140542,7,,가인 김병로 생가터,56002
4,전북특별자치도 남원시 운봉읍 가장길 4,,37,0,A02,A0203,A02030100,2793231,12,20211213232419,http://tong.visitkorea.or.kr/cms/resource/93/3358393_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/3358393_image3_1.JPG,Type3,127.5179339854,35.4101221138,6,20250318212819,4,,가장마을,55720
5,전북특별자치도 부안군 계화면 양지길 12,,37,0,A02,A0201,A02010700,1608562,12,20120420194659,http://tong.visitkorea.or.kr/cms/resource/32/3359232_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/3359232_image3_1.JPG,Type3,126.6371856100,35.7943022476,6,20250318212510,6,,간재선생유지,56300
6,전북특별자치도 진안군 정천면 휴양림길 77,,37,0,A01,A0101,A01010900,129681,12,20070813090000,http://tong.visitkorea.or.kr/cms/resource/79/219579_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/219579_image3_1.jpg,Type3,127.4377085322,35.9085419668,6,20240827100917,14,,갈거계곡,55410
7,전북특별자치도 정읍시 내장호반로 214,(쌍암동),37,0,A02,A0205,A02050200,1625103,12,20120509012120,http://tong.visitkorea.or.kr/cms/resource/89/3060489_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3060489_image3_1.jpg,Type3,126.9002222297,35.5097335146,6,20240604111213,13,,갑오동학혁명 100주년 기념탑,56199
8,전북특별자치도 순창군 팔덕면 강천산길 270,(팔덕면) 부근,37,0,A01,A0102,A01020100,2357460,12,20161229230200,http://tong.visitkorea.or.kr/cms/resource/58/2357358_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/2357358_image2_1.JPG,Type3,127.0556862716,35.3987570781,6,20240531143048,7,,강천사 모과나무,56020
9,전북특별자치도 순창군 팔덕면 강천산길 270,,37,0,A02,A0201,A02010800,126347,12,20031030090000,http://tong.visitkorea.or.kr/cms/resource/60/1954560_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/1954560_image3_1.jpg,Type3,127.0555668463,35.3984154482,6,20241113140854,7,,강천사(순창),56020
10,전북특별자치도 순창군 팔덕면,,37,0,A01,A0101,A01010900,1625118,12,20120509013523,http://tong.visitkorea.or.kr/cms/resource/22/3055722_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3055722_image3_1.jpg,Type3,127.0647187774,35.3998321107,6,20240605092746,7,,강천사계곡,56020
