contentid,overview,tel,homepage,zipcode
2877540,"가든카페 명천마루는 중화요리 전문점 천마루 옆에서 매운 짬뽕을 먹고 가는 손님들의 입가심 메뉴를 생각하다가 시작되었다. 지역특산물을 적극활용하자는 마음으로 문을 열었던 머루천마아이스크림가게였지만, 현재는 자연을 품은 뷰맛집 카페로 새롭게 변신을 하였다. 한옥과 솔밭, 계곡이 있는 카페로, 한옥 건물과 온실처럼 통유리로 된 건물이 있다. 실내 공간은 편안한 휴식을 즐기기에 제격이다. 이곳의 시그니처 메뉴는 직접 끓인 3가지 베리류와 머루의 청으로 만든 머루베리스무디, 고급진 재료로 직접 반죽한 수제 홍콩와플 위에 제철과일과 머루베리청의 곁들인 머루베리와플, 머루의 청과 생과육으로 더해지는 상큼한 머루베리에이드 등 머루와 베리류로 만든 음료와 디저트이다. 눈앞에 펼쳐지는 아름다운 풍경과 함께 휴식을 취하고 싶다면 명천마루 카페에 방문하는 것을 추천한다.",,,55542
2671267,"더할 가 (加) + 즐거울 락 (樂) 여행의 즐거움을 더한다는 뜻을 담은 한옥 숙박시설로, 가락청(加樂聽)이란 우리 음악 정악연주의 진수라 하는 영산회상 중 넷째 곡을 일컫는 ‘가락 더리’를 의미하기도 한다.
『국악의 집』이라는 별칭을 갖고 있는 이곳은 1926년부터 1974년까지 전주의 대표적 명문학교인 전주여고 교장 관사가 위치했던 유서 깊은 곳으로, 이후에는 판소리 본고장답게 최고의 명창과 연주자들이 교유하며 후진을 양성하던 우리 음악의 산실이기도 했다.
가락청에 오시면 편안한 여행의 휴식은 물론 예향 전주의 상징적 공간인 「복합문화공간 행원」과 연계하여 매주 토요일 국악 라이브 공연을 무료로 함께 하실 수 있으며 한옥마을 공영주차장과 가까워 이동이 편리하고 국악방송국, 소리문화관 등과 인접하여 은은한 소리 가락이 늘 기분 좋게 하는 최적의 쉼터가 될 것이다.",,"<a href=""http://karakcheng.com""target=""_blank"">http:// karakcheng.com</a>",55041
2994669,"가람 이병기 선생은 익산 출신으로, 우리의 말글과 문화를 지켜내고 시조를 현대적으로 부흥시킨 시조시인이자 국문학자이다. 가람문학관은 이러한 가람 선생의 현대시조 혁신, 국문학 정립, 한글 및 문화 수호 활동 등 수많은 업적과 정신을 기리고 그 가치를 계승하고자 개관하였다. 가람문학관은 익산시민을 포함한 전국의 관람객들을 위한 힐링 공간이자 문화인의 교양 함양 공간이다. 주요 시설로는 가람과 마주하기(영상실), 가람의 시조 음미하기(가람실), 가람의 생애 되짚기(상설전시실), 가람 기억 가져가기(체험실), 천호산 말길(세미나실), 용화산 능둠(휴게실) 등으로 이루어져 있다.",,,54520
2743285,"가력도항은 부안~군산 간 총길이 33.9㎞의 어항이다. 부안군 어민들이 가장 많이 이용하는 항구로 부안군 관할이지만 부안뿐 아니라 인근 군산시, 김제시 어선들도 많이 이용하는 항구다. 봄철과 가을철 꽃게가 많이 나오는 곳으로도 유명하며 생활 낚시인들도 즐겨 찾는 낚시 명소이다. 가력도항 내항 방파제, 가력 갑문 소공원, 새만금 방조제 갯바위 등이 낚시 포인트이며 계절이나 물때, 상황에 따라 삼치, 우럭, 노래미, 망둥어, 주꾸미, 고등어, 꽁치, 갈치, 갯장어 등 다양한 어종이 잡힌다. 가력도항은 바닷바람을 맞으며 힐링하며 산책하기에도 좋고 붉게 물드는 서해 낙조를 보는 것도 황홀하다. 가력도항 길 건너에는 가력도 생태공원과 전망대, 풍력발전기가 있다.",,"<a href=""https://www.buan.go.kr/tour/index.buan"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.buan.go.kr/tour/index.buan</a>",56343
1625067,"부안군 상서면 청림리에 있는 계곡이다. 가마소계곡의 ‘가마소’는 폭포 아래 물웅덩이 또는 그 주변 지형이 가마솥처럼 움푹하다고 하여 붙여진 이름이다. 한자로는 부소(釜沼)라고 한다. 변산반도 남부에 위치한 세봉(433m)에서 시작되는 가마소계곡은 비교적 협곡을 이루며 수려한 풍광을 자랑하는 내변산의 대표적인 계곡이다. 이곳은 지류인 와룡소계곡과 연결되기 때문에 편의상, 이 전체를 회양계곡이라고도 부르며, 거리는 약 9㎞에 이른다. 
내변산에서도 교통이 불편한 곳에 있으나, 이곳의 폭포와 소는 하천 지형의 특색을 잘 보여 준다.",,"<a href=""http://www.grandculture.net/buan/toc/GC08000029"" target=""_blank"" title=""새창 : 홈페이지로 이동"">http://www.grandculture.net/buan</a>",56343
2788127,"가왕 송흥록 국창 박초월이 살았던 곳으로 10 가구의 주민을 이주하고 그 시대의 초가현태로 2000년 7월 28일에 복원했다. 
송흥록(1801~1863)은 조선 정조 초기 권삼득의 고수 송첨지의 아들로 태어나 12세에 백운산 월광선사에게 공부하였고, 1859년(철종 10)에 정3품 통정대부 벼슬에 제수된 조선 말기 순조, 현종, 철종대에 걸친 명창이다. 계면조, 진양조의 완성, 메나리조 도입과 모든 가사를 집대성하여 판소리의 중사조라 불리며, ‘가왕’의 칭호를 받았다. 춘향가의 옥중가 중에서 귀곡성이 장기이며, 제자 박만순과 동생 송광록, 송광록의 아들 송우룡, 송우룡의 아들 송만갑으로 이어지는 송문일가의 소리를 이루었다.
박초월(1916~1983)은 12세에 김정문에게 흥부가를, 송만갑 지도로 춘향가, 심청가, 수궁가를 전수하였고, 1961년 (사)한국국악협회 초대 이사장 취임과 한국국악예술학교를 설립하여 후진을 양성했다. 1967년 중요무형문화재 제5호 수궁가 보유자로 지정받았다.",,,55717
404116,"양념 족발로 유명한 가운데집은 전주 추천대교 인근에 위치한다. 1965년부터 지금까지 대를 이어온 비법인 양념과 족발 작업 과정을 거쳐 맛있는 족발을 제공한다. 대표 요리는 양념 족발, 비빔밥, 국수로 간단하게 준비되어 있다. 푹 삶은 족발을 건조과정을 거쳐 쫄깃함을 유지한 후, 고추장을 비롯한 갖은양념을 입혀 약한 불에 구워낸 양념 족발은 부드러운 속살과 쫄깃한 껍질이 어우러져 식사 메뉴로도, 술안주로도 인기가 좋다.",063-211-5366,,54845
2593271,"가은채는 한옥마을 내 중앙 앞쪽에 위치해서 주요관광지 및 경기전, 전동성당, 오목대, 남부시장, 자만마을, 향교를 걸어서 5~10분이면 도착할 수 있다. 영어 전화문의도 가능하다. 투숙객에게 한복대여 제휴를 제공한다. 미리 도착할 경우, 준비상황에 따라 조기입실이 가능하다. 영어 문의 전화 응대가 가능하다.",010-6345-5267,http://www.gaeunchae.kr,55041
2593272,"가은채 2호점은 유동인구가 가장 많은 태조로 골목에 위치하고 있어, 한옥마을 전체를 관광하기에 매우 좋은 위치에 있다. 전주시에서 운영하는 전통술박물관과 전통공예명인관이 담을 마주하고 있고, 바로 옆 닥종이 한지인형공방에서 작가의 작품을 감상할 수 있다. 골목 안쪽에는 조선 황손이 기거하시는 승광재가 있다. 각 방에는 비데와 샤워시설이 갖춰진 별도 화장실이 마련되어 있으며, 건물외부에는 CCTV와 번호 자물쇠가 설치되어 있어 보안에 철저하고 늦은 시간에도 입실안내가 가능하다.",010-6345-5267,"<a href=""http://gaeunchae.kr/sub2/s2.htm"" target=""_blank"" title=""새창 : 가은채2 홈페이지로 이동"">http://gaeunchae.kr/sub2/s2.htm</a>",55041
2357441,"조선 중기의 도학자 하서 김인후 선생의 15대손인 가인 김병로 선생의 생가로 이곳에서 태어나 유년시절을 지냈으며, 1948년 대한민국 초대 대법원장을 지낸 법조인이자 정치가로서 우리나라 사법부 역사상 법조 3성[聖]으로 한국 근현대사에 큰 획을 그은 인물로 법조인들로부터 가장 추앙받고 있다. 가인 생가는 당초 안채, 사랑채, 문간채로 이루어 졌으나, 6.25 한국전쟁때 소실되어 옛모습을 찾아 볼 수 없었으나, 순창군에서 후손들의 고증을 거쳐 안채와 문간채를 2014년 5월에 복원을 완료하여 오늘에 이르고 있다.

(출처 : 순창군 문화관광 홈페이지)",,"<a title=""새창: 순창 문화관광 홈페이지로 이동"" href=""https://www.sunchang.go.kr/tour/board/view.sunchang?menuCd=DOM_000000402001000000&boardId=BBS_0000005&dataSid=50"" target=""_blank"">http://tour.sunchang.go.kr</a>",56002
