관광지이름,총점,이름,내용,별점
망부상과 망부사 사우,4.0,은하영,경치도좋구 특히 밤에가면 야경이 좋습니다 애기들 데리고 산책하기 좋구 저는 모임에서 언니들하고 갔는데 너무 시원하고 운치있고 ...,5
망부상과 망부사 사우,4.0,Mo Jo,정읍사공원이 새로 단장이 됐다. 정읍이라는 지명에서 보듯 마르지 않는 약수터를 끼고 있다.,4
망부상과 망부사 사우,4.0,Acua Tree,정읍사라는 것에 대해 자세히알수있고 정읍사를 대표하는 건축물이다,4
망부상과 망부사 사우,4.0,Woo Ki Son (SAM SON),정읍사 공원 내 설화를 담은 석상,4
망부상과 망부사 사우,4.0,김영훈,정읍시에 오시면 한번쯤은?,5
망부상과 망부사 사우,4.0,이승호,산책하기  좋음고즈넉한  분위기,5
망부상과 망부사 사우,4.0,윤대성,괜찮아요,3
망부상과 망부사 사우,4.0,전원갑,돈이 아깝다,1
망부상과 망부사 사우,4.0,모지니,좋아요,4
망부상과 망부사 사우,4.0,지대환,ㅇ..ㄷㅡㅡ,2
망부상과 망부사 사우,4.0,Traveled,,5
망부상과 망부사 사우,4.0,춘서박,,4
망부상과 망부사 사우,4.0,Руслан Хегай,,5
망부상과 망부사 사우,4.0,Pavel Kim,,4
망부상과 망부사 사우,4.0,곽창원,,5
망부상과 망부사 사우,4.0,SAJID IQBAL,,4
망부상과 망부사 사우,4.0,HoJin Choi,,5
망부상과 망부사 사우,4.0,유석구,,2
망부상과 망부사 사우,4.0,전영열,,3
망부상과 망부사 사우,4.0,임임성기,,5
망부상과 망부사 사우,4.0,김영무,,5
망제동석불입상(대암석불),4.7,SR해적,좋아요,5
망제동석불입상(대암석불),4.7,송태형,,4
망제동석불입상(대암석불),4.7,김철한,,5
망제동석불입상(대암석불),4.7,Dara Netra,,4
망제동석불입상(대암석불),4.7,김동우,,5
망제동석불입상(대암석불),4.7,고향지킴이,,5
망제동석불입상(대암석불),4.7,김옥남,,5
망해사,4.2,이헌영,"고즈녁하고..주변환경이아름답고멀리보이는전망이
일품.종교를떠나서 피곤한일상을조절하는데 도움
이될듯함.오가는길에볼것들이다양.",4
망해사,4.2,이코비,만경강과 서해를 발 앞에 둔 사찰로 인적이 드물어 조용히 명상을 즐길 수 있습니다. 시간이 허락되지 않아 일몰을 즐기지 못했지만 석양이 매우 아름다울 것 같습니다.,5
망해사,4.2,Young Ha,"지평선, 수평선을 함께 볼 수 있는 곳. 이른 아침에 방문하였더니 조용하고 좋았습니다. 스님의 목탁 소리도 들을 수 있어서 마음이 안정되고 평온해지는 느낌이었습니다.",5
망해사,4.2,ruby Cat,추억의 망해사...지금은 바다가 아닌 망망 육지를 바라보는 느낌이다. 물론 아직까진 민물로 변한 모습을 볼 수 있다. 바람길을 걷는 것을 추천한다.,5
망해사,4.2,Youngwoo Shon,"꽤 오래된 고찰로 바다를 비라보고 있는 절이며 석양이 앚  멋진곳입니다.
수령이 오래된 팽나무가 절의 역사를 말해주고 있습니다.",4
망해사,4.2,이정주,"백제 때인 642년에 건축된 것으로 알려진 매우 아름다운 장소에 있는 경관좋은 절이다. 역사에 비해 절의 규모는 작지만 '망해사'라는 이름 그대로 바다를 바라보는 절이다. 지금은 바다는 사라지고 없지만 광할한 새만금간척지를 시원하게 조망할 수 있다.

사실 '망해사' 는 누구나 한번 들르고 나면 반드시  다시 찾고 싶은 생각이 들게한다. 막힌 곳 없이 시원하게 트인 망해사는 해뜨기 전과 후 이른 아침, 해볕이 내리쬐는 한낮, 해가 저무는 석양 등 어느 시간 어느 계절에도 이곳을 찾는 이는 멋진 분위기와 풍경을 마주하게 되는 보석 같은 곳이다.
또,  최근에 구간 개통된 심포< - >신시도간 '새만금 동서관통도로' 를 타고가면 '선유도' 등 고군산열도까지 20여분 정도면 도달할 수 있어 매우 교통상황이 편리해졌다.",5
망해사,4.2,Cameducer Kim,"만경강의 끝, 바다의 시작인 망망대해 망해사.
절 앞에 바다가 있는것이 신비롭네요.
김제에서 바다를 볼 수 있다니~신기할 따름!
석화라는 말이 여기서 유래했다는 글이 써있네요~
석화= 바다의 꽃
옆에 전망대에 올라가면 시원한 바람을 맞이할 수 있어요~",5
망해사,4.2,ckgh73,"고즈넉한 ..
만경강이 보이는
종을 칠수 있어서 좋았다",3
망해사,4.2,유영진,"소문 보다 만족감은 덜 합니다.
국내 100대 볼거리라는 얘기도 납득하기가~~
심포항에서 보는 풍경과 망해사에서 보는 풍경의 차이가 뭔지 한참 생각해 봤습니다.
사찰측에서도 노력이 필요하거나,
지자체의 협조도 필요해 보입니다.
포항과 새만금 간의 고속도로도 공사중이던데..
사찰측에서 성불에만 관심있으시면,
제 의견은 송구하게 되었습니다.🍀🙏",3
망해사,4.2,Silpeed [ROK],생각만치는 않지만 바다도 보이고 노을이 아름답게 비춰지는게 맘을 편안하게 해준다.😌😊…,5
망해사,4.2,이규성,"바람이 무척이나 시원했고,  풍경도 시원한 사찰.",5
망해사,4.2,임세종,"바다가에 위치한 절집으로
오랜 역사를 갖고 있는곳이다.
진묵대사와의 인연이 많으며
특히 일몰정경은 압권이다.
바다를 바라보는 절 이라 하여
이름도 望海寺 이다.",4
망해사,4.2,개냥양이 스콧집사,"코로나라 주차를 조금 떨어진곳에하고 걸어가야하지만
조용하고
일몰 감상하기좋아요.
망해사안에는
자판기만 있고 화장실은 없어요.",5
망해사,4.2,김경애,"답답한 마음이 힐링이되는 곳으로 통일신라때 사찰로
익산에서 드라브코스로
추천 할만한 곳 입니다
멀리 새만금 방조제가 보이는 전망이 아주 좋은곳이라고 자신있게 올립니다",5
망해사,4.2,Jonghwan Jeon,"서해를 바라보고있는 절입니다
탁트인 바다를 바라보니 좋습니다
저녁일몰이 정말 좋습니다",5
망해사,4.2,Jung-Kue Shin,"대부분 사찰이 산에 있는데 망해사는 바닷가에 위치한 몇 안되는 사찰임.
진봉면 심포리에 자리 잡은 망해사는 만경강이 서해로 흘러드는 지점에 있다. 절 아래가 바로 바다이기 때문에 절 이름도 ‘바다를 바라볼 수 있는 절’이다. 백제 의자왕 2년(642)에 부설거사가 창건",5
망해사,4.2,김대성,"라이딩하면서  다녀왔습니다
경치가좋은데  자전거도로가없어서  아쉬워요",5
망해사,4.2,김하생,"바다를 바라보던 망해사~
이제는 풍경이 많이 바뀌었는데 그래도 명불허전 망해사^^",5
망해사,4.2,YH B,"일상의 생활에 지친 마음을 이 곳 망해사에서
경건한 마음으로 힐링을...",5
망해사,4.2,김기범,경치가 좋은 크지 않은 절,5
망해사,4.2,조덕형,비록 작은 사찰이지만 인위적으로 꾸며놓지않은 자연미와 서해 일몰을 볼수가있다,4
망해사,4.2,벨리댄스Tv in Korea,백제 의자왕때 지어졌다는 작은 절 앉아서 바다를 바라보고 있으면 세월을 잊게 한다 경치가 너무 좋아 일주일에 세번이나 갔던 곳 김재 망해사,5
망해사,4.2,박경덕,한적하고 짧은 거리를 걸으면 만나게 되요..아름다운 풍광..,4
망해사,4.2,BREEZEART,혼자 명상하며 앉아 있기에 정말 좋습니다. 잡념이 사라지는 곳입니다.,5
망해사,4.2,Cosmos,지는 석양을 보면서 극락을 상상해 볼 수 있는 전망좋은 곳에 있는 사찰?,4
망해사,4.2,허은미,기대없이 산책삼아 갔는데 고즈넉하고 경치도 좋고 사색하기에도 멋진곳이었어요.,3
