관광지이름,총점,이름,내용,별점
연석산,5.0,Soyul,,5
연자봉,4.0,알버트 (2N9),"내장산 최고봉
주말엔 사람들이 많아요",5
연자봉,4.0,꼬부기왕,신선봉 전의 봉우리입니다. 시원하고 주위경치가 좋습니다,4
연자봉,4.0,권혁순,"신선봉가기전 봉우리, 올라서면, 조망이 멋있습니다",4
연자봉,4.0,김영복,조망이 너무 좋은 곳이다.,3
연자봉,4.0,김현수,처음 가봐서 잘 모르겠음,5
연자봉,4.0,천인우,좋은풍광입니다.,5
연자봉,4.0,류태웅,표지석없음,5
연자봉,4.0,규토리,연자봉,5
연자봉,4.0,국태호,오지산행,5
연자봉,4.0,Colleen Rano,오르는길이 힘들지만 그만한 가치가 있어요👍…,4
연자봉,4.0,joey thien,등반은 힘들다.,4
연자봉,4.0,キタ,전망이 좋고 산간 단풍을 즐길 수 있습니다.,4
연자봉,4.0,박상진,,5
연자봉,4.0,Pratik Kad,,5
연자봉,4.0,Sunkyu Park,,3
연자봉,4.0,윤순길,,4
연자봉,4.0,제갈혜화 (chuko),,4
연자봉,4.0,이규열,,4
연자봉,4.0,이성호,,3
연자봉,4.0,이인호,,1
연자봉,4.0,이철희,,3
연자봉,4.0,최수웅,,5
연자봉,4.0,김환식,,5
연자봉,4.0,생명샘,,4
연자봉,4.0,Dave Kim,,3
연자봉,4.0,박찬성,,3
연화사(남원),5.0,백정선,부처님의 자비가 가득한  사찰밉니다.,5
연화사(남원),5.0,TH K (Kr),,5
염의서원,3.8,dami Jo,"군산시 향토문화 유산으로 지정된 염의서원은 1685년에 창건되었고 1804년에 사액된 서원으로 1868년 흥선대원군의 서원 철폐령으로 철폐되는 수난을 겪었다. 1915년 문충공 고경,문영공 고용현선친의 유허비를 세우고 1920년에서원을 중건하였다.",5
염의서원,3.8,김지아,안내표지판이 녹슬어있고 문이잠겨있음,2
염의서원,3.8,hy Jo,바람이 시원한곳,4
염의서원,3.8,Hayuri Na,,5
염의서원,3.8,최재봉,,3
염의서원,3.8,노동옥,,4
영광정,5.0,김홍택,,5
영등동 유적,4.0,J-do SONG,1995년 영등동 택지개발 당시 발굴된 유적(집터)이 모여있지요.,4
영등동 유적,4.0,HONG MIN CHU,산책하기 좋아요,3
영등동 유적,4.0,푸른조선,,4
영등동 유적,4.0,SEZI 760D,,5
